player_id,age,club_id,estimated_selling_value,expiry_date,name,position,rating,selling_value,selling_value_difference,transfer_status,updated_date,wage,value,contract,experience,personality,weeks_at_the_club,highest_bidding_club
12162679,17,106488,0,NULL,"Adrien Renard",DEFENDER_LEFT,0,43000,-43000,ALREADY_SOLD,"2019-10-04 19:32:22",12,0,NULL,0,NULL,0,NULL
12162672,19,106488,0,NULL,"Paco Fosse",GOALKEEPER,0,180000,-180000,ALREADY_SOLD,"2019-10-04 19:32:28",453,0,NULL,0,NULL,0,NULL
11870240,24,105934,0,NULL,"David Carr",DEFENDER_RIGHT,0,3000,-3000,ALREADY_SOLD,"2019-10-04 16:32:21",477,0,NULL,0,NULL,0,NULL
11555834,19,105925,0,NULL,"Gianmaria Cacciotti",GOALKEEPER,0,1000,-1000,ALREADY_SOLD,"2019-10-04 19:32:30",13,0,NULL,0,NULL,0,NULL
9159798,23,105467,0,NULL,"Rafael Haanstra",DEFENDER_CENTER,0,80000,-80000,ALREADY_SOLD,"2019-10-04 16:32:21",4471,0,NULL,0,NULL,0,NULL
6489754,33,104957,0,NULL,"Nabil Taleb",MIDFIELDER_CENTER,0,23000,-23000,ALREADY_SOLD,"2019-10-04 16:32:22",1252,0,NULL,0,NULL,0,NULL
11844707,17,104666,0,NULL,"Neelkanta Ganesh",ATTACKER_CENTER,0,2000,-2000,ALREADY_SOLD,"2019-10-04 13:32:17",21,0,NULL,0,NULL,0,NULL
10321438,20,104161,0,NULL,"Nikolay Kirilov",ATTACKER_CENTER,0,1000,-1000,ALREADY_SOLD,"2019-10-04 16:32:23",364,0,NULL,0,NULL,0,NULL
10315877,22,104063,0,NULL,"Silvester Tomazevic",MIDFIELDER_LEFT,0,1000,-1000,ALREADY_SOLD,"2019-10-04 16:32:24",327,0,NULL,0,NULL,0,NULL
10315859,21,104063,0,NULL,"Lovro Presern",DEFENDER_RIGHT,0,1000,-1000,ALREADY_SOLD,"2019-10-04 16:32:20",524,0,NULL,0,NULL,0,NULL
6303406,34,103574,0,NULL,"Relja Blagojevic",ATTACKER_CENTER,0,17000,-17000,ALREADY_SOLD,"2019-10-04 16:32:22",65,0,NULL,0,NULL,0,NULL
10311175,19,103543,0,NULL,"Kenko Kuga",GOALKEEPER,0,4000,-4000,ALREADY_SOLD,"2019-10-04 19:32:31",14,0,NULL,0,NULL,0,NULL
10588420,19,103543,0,NULL,"Yukihira Maeda",DEFENDER_LEFT,0,4000,-4000,ALREADY_SOLD,"2019-10-04 19:32:30",62,0,NULL,0,NULL,0,NULL
11241826,19,103543,0,NULL,"Keitaro Kudo",ATTACKER_CENTER,0,4000,-4000,ALREADY_SOLD,"2019-10-04 19:32:29",49,0,NULL,0,NULL,0,NULL
10486330,20,103477,0,NULL,"Nemanja Dimitrijevic",DEFENDER_CENTER,0,35000,-35000,ALREADY_SOLD,"2019-10-04 16:32:22",1502,0,NULL,0,NULL,0,NULL
5901331,33,102279,0,NULL,"Muhammad Yusuf",DEFENDER_LEFT,0,6000,-6000,ALREADY_SOLD,"2019-10-04 10:32:17",26636,0,NULL,0,NULL,0,NULL
9357901,23,101778,0,NULL,"Anastasio Lobaton",MIDFIELDER_RIGHT,0,8000,-8000,ALREADY_SOLD,"2019-10-04 13:32:18",718,0,NULL,0,NULL,0,NULL
11566461,19,99338,0,NULL,"Radenko Glisic",GOALKEEPER,0,2000,-2000,ALREADY_SOLD,"2019-10-04 19:32:30",34,0,NULL,0,NULL,0,NULL
11240155,18,97442,0,NULL,"Nizam Yozgatli",ATTACKER_CENTER,0,104000,-104000,ALREADY_SOLD,"2019-10-04 19:32:32",72,0,NULL,0,NULL,0,NULL
6571201,32,92388,0,NULL,"Tom Villadsen",MIDFIELDER_CENTER,0,1436000,-1436000,ALREADY_SOLD,"2019-10-04 13:32:18",5780,0,NULL,0,NULL,0,NULL
10420291,19,90820,0,NULL,"Thijs Van Der Kaijser",DEFENDER_RIGHT,0,2000,-2000,ALREADY_SOLD,"2019-10-04 16:32:23",205,0,NULL,0,NULL,0,NULL
7193412,29,84948,0,NULL,"Albertino Pessoa",ATTACKER_CENTER,0,123000,-123000,ALREADY_SOLD,"2019-10-04 16:32:24",1042,0,NULL,0,NULL,0,NULL
10199881,20,71681,0,NULL,"Robi Loncar",DEFENDER_RIGHT,0,1000,-1000,ALREADY_SOLD,"2019-10-04 16:32:22",551,0,NULL,0,NULL,0,NULL
10509361,20,71681,0,NULL,"Joze Gobec",DEFENDER_CENTER,0,1000,-1000,ALREADY_SOLD,"2019-10-04 16:32:23",84,0,NULL,0,NULL,0,NULL
10310200,20,71681,0,NULL,"Zoran Burger",MIDFIELDER_CENTER,0,1000,-1000,ALREADY_SOLD,"2019-10-04 16:32:24",327,0,NULL,0,NULL,0,NULL
11012888,19,52148,0,NULL,"Thomas Huynh",GOALKEEPER,0,1000,-1000,ALREADY_SOLD,"2019-10-04 19:32:27",120,0,NULL,0,NULL,0,NULL
8106557,32,51908,0,NULL,"Igor Janzelj",DEFENDER_CENTER,0,5001000,-5001000,ALREADY_SOLD,"2019-10-04 13:32:18",10636,0,NULL,0,NULL,0,NULL
5250844,35,50960,0,NULL,"Milijan Stjelja",MIDFIELDER_CENTER,0,27000,-27000,ALREADY_SOLD,"2019-10-04 16:32:22",1259,0,NULL,0,NULL,0,NULL
